"coingecko_id","name","acronym"
"bitcoin","Bitcoin","BTC"
"ethereum","Etherum","ETH"
"tether","Tether","USDT"
"binancecoin","BNB","BNB"
"solana","Solana","SOL"
"usd-coin","USDC","USDC"
"ripple","XRP","XRP"
"staked-ether","Lido","STETH"
"dogecoin","Dogecoin","DOGE"
"the-open-network","Toncoin","TON"
"tron","TRON","TRX"
"cardano","Cardano","ADA"
"avalanche-2","Avalanche","AVAX"
"wrapped-steth","Lido wstETH","WSTETH"
"wrapped-bitcoin","Wrapped Bitcoin","WBTC"
"shiba-inu","Shiba Inu","SHIB"
"weth","WETH","WETH"
"chainlink","Chainlink","LINK"
"bitcoin-cash","Bitcoin Cash","BCH"
"polkadot","Polkadot","DOT"
"uniswap","Uniswap","UNI"
"leo-token","LEO Token","LEO"
"dai","Dai","DAI"
"litecoin","Litecoin","LTC"
"near","NEAR Protocol","NEAR"
