acronym,yahoo_acronym
BTC-USD,BTC
ETH-USD,ETH
USDT-USD,USDT
BNB-USD,BNB
SOL-USD,SOL
USDC-USD,USDC
XRP-USD,XRP
STETH-USD,STETH
DOGE-USD,DOGE
WTRX-USD,WTRX
TRX-USD,TRX
ADA-USD,ADA
TON11419-USD,TON
WSTETH-USD,WSTETH
AVAX-USD,AVAX
WBTC-USD,WBTC
WETH-USD,WETH
SHIB-USD,SHIB
DOT-USD,DOT
LINK-USD,LINK
BCH-USD,BCH
DAI-USD,DAI
LEO-USD,LEO
LTC-USD,LTC
NEAR-USD,NEAR
EETH-USD,EETH
UNI7083-USD,UNI
WEETH-USD,WEETH
KAS-USD,KAS
BTCB-USD,BTCB
ICP-USD,ICP
XMR-USD,XMR
WBETH-USD,WBETH
PEPE24478-USD,PEPE
APT21794-USD,APT
USDE29470-USD,USDE
FET-USD,FET
XLM-USD,XLM
ETC-USD,ETC
FDUSD-USD,FDUSD
SUI20947-USD,SUI
POL28321-USD,POL
OKB-USD,OKB
STX4847-USD,STX
CRO-USD,CRO
FIL-USD,FIL
AAVE-USD,AAVE
IMX10603-USD,IMX
RENDER-USD,RENDER
HBAR-USD,HBAR
MNT27075-USD,MNT
ARB11841-USD,ARB
TAO22974-USD,TAO
MATIC-USD,MATIC
JITOSOL-USD,JITOSOL
OP-USD,OP
VET-USD,VET
INJ-USD,INJ
ZBU-USD,ZBU
WIF-USD,WIF
MKR-USD,MKR
ATOM-USD,ATOM
AR-USD,AR
BGB-USD,BGB
HNT-USD,HNT
RETH-USD,RETH
GRT6719-USD,GRT
SUSDE-USD,SUSDE
RUNE-USD,RUNE
PUFETH-USD,PUFETH
METH29035-USD,METH
FLOKI-USD,FLOKI
THETA-USD,THETA
BONK-USD,BONK
FTM-USD,FTM
FLZ-USD,FLZ
CHEEL-USD,CHEEL
ALGO-USD,ALGO
JUP29210-USD,JUP
PYTH-USD,PYTH
KCS-USD,KCS
JASMY-USD,JASMY
PYUSD-USD,PYUSD
SEI-USD,SEI
BSV-USD,BSV
EZETH-USD,EZETH
